reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-12-13,ILI ED visits pct,0,2025-12-13,nyc,quantile,0.025,6.3724181797494754
2025-12-13,ILI ED visits pct,0,2025-12-13,nyc,quantile,0.05,6.799483487557717
2025-12-13,ILI ED visits pct,0,2025-12-13,nyc,quantile,0.1,7.257221858152747
2025-12-13,ILI ED visits pct,0,2025-12-13,nyc,quantile,0.25,8.380086111255196
2025-12-13,ILI ED visits pct,0,2025-12-13,nyc,quantile,0.5,9.327426505205633
2025-12-13,ILI ED visits pct,0,2025-12-13,nyc,quantile,0.75,10.459750003049965
2025-12-13,ILI ED visits pct,0,2025-12-13,nyc,quantile,0.9,11.881263642160588
2025-12-13,ILI ED visits pct,0,2025-12-13,nyc,quantile,0.95,12.828202248109706
2025-12-13,ILI ED visits pct,0,2025-12-13,nyc,quantile,0.975,13.767782278886655
2025-12-13,ILI ED visits pct,1,2025-12-20,nyc,quantile,0.025,5.941560505715262
2025-12-13,ILI ED visits pct,1,2025-12-20,nyc,quantile,0.05,6.406636150243145
2025-12-13,ILI ED visits pct,1,2025-12-20,nyc,quantile,0.1,7.361728213809239
2025-12-13,ILI ED visits pct,1,2025-12-20,nyc,quantile,0.25,9.001630417705465
2025-12-13,ILI ED visits pct,1,2025-12-20,nyc,quantile,0.5,11.153811224957508
2025-12-13,ILI ED visits pct,1,2025-12-20,nyc,quantile,0.75,12.99906227295435
2025-12-13,ILI ED visits pct,1,2025-12-20,nyc,quantile,0.9,15.684161798948402
2025-12-13,ILI ED visits pct,1,2025-12-20,nyc,quantile,0.95,17.96654951511833
2025-12-13,ILI ED visits pct,1,2025-12-20,nyc,quantile,0.975,18.911146673686922
2025-12-13,ILI ED visits pct,2,2025-12-27,nyc,quantile,0.025,4.625306749009221
2025-12-13,ILI ED visits pct,2,2025-12-27,nyc,quantile,0.05,5.421947044920797
2025-12-13,ILI ED visits pct,2,2025-12-27,nyc,quantile,0.1,6.699493318506412
2025-12-13,ILI ED visits pct,2,2025-12-27,nyc,quantile,0.25,8.74971842988455
2025-12-13,ILI ED visits pct,2,2025-12-27,nyc,quantile,0.5,12.607417682523103
2025-12-13,ILI ED visits pct,2,2025-12-27,nyc,quantile,0.75,16.487331457049756
2025-12-13,ILI ED visits pct,2,2025-12-27,nyc,quantile,0.9,20.289047280078595
2025-12-13,ILI ED visits pct,2,2025-12-27,nyc,quantile,0.95,23.035169353460798
2025-12-13,ILI ED visits pct,2,2025-12-27,nyc,quantile,0.975,25.206926142620507
2025-12-13,ILI ED visits pct,3,2026-01-03,nyc,quantile,0.025,3.542484298238226
2025-12-13,ILI ED visits pct,3,2026-01-03,nyc,quantile,0.05,4.375684034104483
2025-12-13,ILI ED visits pct,3,2026-01-03,nyc,quantile,0.1,5.371425226716024
2025-12-13,ILI ED visits pct,3,2026-01-03,nyc,quantile,0.25,8.299548420686842
2025-12-13,ILI ED visits pct,3,2026-01-03,nyc,quantile,0.5,13.062681492183787
2025-12-13,ILI ED visits pct,3,2026-01-03,nyc,quantile,0.75,20.552708597350936
2025-12-13,ILI ED visits pct,3,2026-01-03,nyc,quantile,0.9,24.958521347513436
2025-12-13,ILI ED visits pct,3,2026-01-03,nyc,quantile,0.95,28.991929476356574
2025-12-13,ILI ED visits pct,3,2026-01-03,nyc,quantile,0.975,32.393083817019615
2025-12-13,Flu ED visits pct,0,2025-12-13,colorado,quantile,0.025,2.695558605915508
2025-12-13,Flu ED visits pct,0,2025-12-13,colorado,quantile,0.05,2.8802790042054283
2025-12-13,Flu ED visits pct,0,2025-12-13,colorado,quantile,0.1,3.0990551414365104
2025-12-13,Flu ED visits pct,0,2025-12-13,colorado,quantile,0.25,3.571032079745865
2025-12-13,Flu ED visits pct,0,2025-12-13,colorado,quantile,0.5,4.172235570542491
2025-12-13,Flu ED visits pct,0,2025-12-13,colorado,quantile,0.75,4.823857850948497
2025-12-13,Flu ED visits pct,0,2025-12-13,colorado,quantile,0.9,5.635883541328672
2025-12-13,Flu ED visits pct,0,2025-12-13,colorado,quantile,0.95,6.336803481268172
2025-12-13,Flu ED visits pct,0,2025-12-13,colorado,quantile,0.975,6.765541639841661
2025-12-13,Flu ED visits pct,1,2025-12-20,colorado,quantile,0.025,2.336017385874102
2025-12-13,Flu ED visits pct,1,2025-12-20,colorado,quantile,0.05,2.4665934394991806
2025-12-13,Flu ED visits pct,1,2025-12-20,colorado,quantile,0.1,2.758119195261417
2025-12-13,Flu ED visits pct,1,2025-12-20,colorado,quantile,0.25,3.4457162670909396
2025-12-13,Flu ED visits pct,1,2025-12-20,colorado,quantile,0.5,4.60231353991538
2025-12-13,Flu ED visits pct,1,2025-12-20,colorado,quantile,0.75,5.613078536056616
2025-12-13,Flu ED visits pct,1,2025-12-20,colorado,quantile,0.9,7.191729725093758
2025-12-13,Flu ED visits pct,1,2025-12-20,colorado,quantile,0.95,8.801493181005933
